Stocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brussels - Euronext,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Instrument's name,ISIN,Euronext code,Market,Symbol,ICB Sector (Level 4),Trading currency,Last,Volume,D/D-1 (%),Date - time (CET),Turnover,Total number of shares,Capitalisation,Compartment,Investment zone,Eligibility,Trading mode,Day First,Day High,Day High / Date - time (CET),Day Low,Day Low / Date - time (CET), 31-12/Change (%), 31-12/High, 31-12/High/Date, 31-12/Low, 31-12/Low/Date, 52 weeks/Change (%), 52 weeks/High, 52 weeks/High/Date, 52 weeks/Low, 52 weeks/Low/Date,Website,Investor relation contact,Phone number,ICB Sector (Level 1),ICB Sector (Level 2),ICB Sector (Level 3),Personal equity saving plan eligibility,Deferred Settlement Service,Halted,Halted / Date - time (CET)
BREDERODE,BE0003792091,BE0003792091,BRU,BREB,8775 Specialty Finance,EUR,18.4,6593,0.44,2009-12-11 17:35,120811,"30,653,969","564,033,030",Compartment B (Mid Caps),Belgium zone  ,PEA eligible,Continuous,18.1,18.43,2009-12-11 15:06,18.1,2009-12-11 9:00,1.66,20.91,2013-5-11,15.55,2009-8-11,5.93,20.91,2013-5-11,15.55,2009-8-11,"=LIEN_HYPERTEXTE(""http://www.brederode.eu"";""http://www.brederode.eu"")",Sylviane LUCAS,32 2 352 00 90,8000 Financials,8700 Financial Services,8770 Financial Services,Yes,No,-,-
BREDERODE STRIP,BE0005585568,BE0005585568,BRU,BRES,8775 Specialty Finance,EUR,0.01,2625,-50,2009-12-11 15:00,26,"29,703,240","297,032",null,Belgium zone  ,,Call auction,0.01,0.01,2009-12-11 15:00,0.01,2009-12-11 15:00,-74.36,0.078,2012-5-11,0.001,2028-10-11,-71.43,0.08,2012-5-11,0,2028-10-11,-,-,-,8000 Financials,8700 Financial Services,8770 Financial Services,No,No,-,-
BROOKFIELD CERT A,BE0004601424,BE0004601424,BRU,BAM,8633 Real Estate Holding & Development,EUR,20.3,892,5.95,2009-12-11 11:30,18108,"583,490,000","11,844,847,000",null,International zone (out of Euro)  ,,Double call auction,20.3,20.3,2009-12-11 11:30,20.3,2009-12-11 11:30,-15.42,24.76,2003-1-11,17.59,2009-8-11,-8.76,24.76,2003-1-11,17.59,2009-8-11,"=LIEN_HYPERTEXTE(""http://www.brookfield.com"";""http://www.brookfield.com"")",-,-,8000 Financials,8600 Real Estate,8630 Real Estate Investment & Services,No,No,-,-
CAMPINE,BE0003825420,BE0003825420,BRU,CAMB,1357 Specialty Chemicals,EUR,18.8,99,0,2007-12-11 16:30,1861,"1,500,000","28,200,000",Compartment C (Small Caps),Belgium zone  ,PEA eligible,Double call auction,18.8,18.8,2007-12-11 16:30,18.8,2007-12-11 16:30,-38.38,30.55,2004-1-11,17.77,2004-10-11,-21.01,32,2023-12-10,17.77,2004-10-11,"=LIEN_HYPERTEXTE(""http://www.campine.be"";""http://www.campine.be"")",karin leysen,014 60 15 49,1000 BasicMaterials,1300 Chemicals,1350 Chemicals,Yes,No,-,-
CATERPILLAR CERT,BE0004402377,BE0004402377,BRU,CATE,2753 Commercial Vehicles & Trucks,EUR,70.75,500,-5.67,2008-12-11 11:30,35375,"608,716,182","43,066,669,877",null,International zone (out of Euro)  ,,Double call auction,70.75,70.75,2008-12-11 11:30,70.75,2008-12-11 11:30,-0.14,79.35,2001-4-11,55.4,2023-8-11,7.2,79.35,2001-4-11,55.4,2023-8-11,-,-,-,2000 Industrials,2700 Industrial Goods & Services,2750 Industrial Engineering,No,No,-,-
CBOISSAUVWE12(1P1),BE0006462601,BE0006462601,BRU,COMW1,8775 Specialty Finance,EUR,6.9,12,-0.72,1931-8-10 12:00,83,"132,500","914,250",null,Belgium zone  ,PEA eligible,Double call auction,6.9,6.9,1931-8-10 12:00,6.9,1931-8-10 12:00,-1.43,7.7,2017-5-10,6.01,2014-4-10,-31,11,2004-9-9,5.64,2019-10-9,-,-,-,8000 Financials,8700 Financial Services,8770 Financial Services,Yes,No,Halted,2009-12-11
CBOISSAUVWE15(1P1),BE0006463617,BE0006463617,BRU,COMW2,8775 Specialty Finance,EUR,5.03,25,-2.71,2029-8-11 12:00,126,"132,500","666,475",null,Belgium zone  ,PEA eligible,Double call auction,5.03,5.03,2029-8-11 12:00,5.03,2029-8-11 12:00,-28.35,7.51,2011-4-11,4.3,2015-6-11,55.73,7.51,2011-4-11,3,2002-9-10,-,-,-,8000 Financials,8700 Financial Services,8770 Financial Services,Yes,No,Halted,2009-12-11
CFE (D),BE0003883031,BE0003883031,BRU,CFEB,2357 Heavy Construction,EUR,40.78,4436,1.95,2009-12-11 17:39,180689,"13,092,260","533,902,363",Compartment B (Mid Caps),Belgium zone  ,PEA eligible,Continuous,39.99,41.37,2009-12-11 12:16,39.8,2009-12-11 9:01,-24.07,59.78,2005-4-11,35.03,2009-8-11,-18.44,59.78,2005-4-11,35.03,2009-8-11,"=LIEN_HYPERTEXTE(""http://www.cfe.be"";""http://www.cfe.be"")",Jacques Ninanne,-,2000 Industrials,2300 Construction & Materials,2350 Construction & Materials,Yes,No,-,-
CIE B.SAUVAG.STRIP,BE0005576476,BE0005576476,BRU,COMS,8775 Specialty Finance,EUR,0.01,100,-50,2005-12-11 15:00,1,"1,232,686","12,327",null,Belgium zone  ,,Call auction,0.01,0.01,2005-12-11 15:00,0.01,2005-12-11 15:00,-85.71,0.15,2022-2-11,0.001,2011-10-11,-85.71,0.15,2022-2-11,0,2011-10-11,-,-,-,8000 Financials,8700 Financial Services,8770 Financial Services,No,No,-,-
CIE BOIS SAUVAGE,BE0003592038,BE0003592038,BRU,COMB,8775 Specialty Finance,EUR,169,377,-0.58,2009-12-11 17:35,63763,"1,582,000","267,358,000",Compartment B (Mid Caps),Belgium zone  ,PEA eligible,Continuous,169.99,170,2009-12-11 17:27,167.13,2009-12-11 15:31,-6.03,209,2026-7-11,163.36,2024-11-11,-6.03,209,2026-7-11,163.36,2024-11-11,"=LIEN_HYPERTEXTE(""http://www.bois-sauvage.be"";""http://www.bois-sauvage.be"")",Vincent Doumier,02 227 54 50,8000 Financials,8700 Financial Services,8770 Financial Services,Yes,No,-,-
CIMESCAUT,BE0003304061,BE0003304061,BRU,CIM,2353 Building Materials & Fixtures,EUR,1035,1,0,2006-12-11 11:30,1035,"57,652","59,669,820",Compartment C (Small Caps),Belgium zone  ,PEA eligible,Double call auction,1035,1035,2006-12-11 11:30,1035,2006-12-11 11:30,6.26,1035,2005-12-11,925,2003-8-11,6.15,1035,2005-12-11,925,2003-8-11,"=LIEN_HYPERTEXTE(""http://www.cimescaut.com"";""http://www.cimescaut.com"")",-,-,2000 Industrials,2300 Construction & Materials,2350 Construction & Materials,Yes,No,-,-
CMB,BE0003817344,BE0003817344,BRU,CMB,2773 Marine Transportation,EUR,15.7,14342,-1.2,2009-12-11 17:35,226521,"35,000,000","549,500,000",Compartment B (Mid Caps),Belgium zone  ,PEA eligible,Continuous,15.87,16.49,2009-12-11 11:22,15.5,2009-12-11 15:11,-31.89,23.74,2003-1-11,14.56,2005-8-11,-28.77,23.74,2003-1-11,14.56,2005-8-11,"=LIEN_HYPERTEXTE(""http://www.cmb.be"";""http://www.cmb.be"")",Frank Geerts,+32 3 247 59 10,2000 Industrials,2700 Industrial Goods & Services,2770 Industrial Transportation,Yes,No,-,-
COFINIMMO PRIV1,BE0003811289,BE0003811289,BRU,COFP1,8671 Industrial & Office REITs,EUR,93.5,50,0.15,2015-8-11 16:30,4675,"561,727","52,521,475",Compartment A (Large Caps),Belgium zone  ,PEA eligible,Double call auction,93.5,93.5,2015-8-11 16:30,93.5,2015-8-11 16:30,0.54,115.25,2016-5-11,93.36,2017-5-11,1.8,115.25,2016-5-11,93,2027-9-10,-,-,-,8000 Financials,8600 Real Estate,8670 Real Estate Investment Trusts,Yes,No,-,-
COFINIMMO PRIV2,BE0003813301,BE0003813301,BRU,COFP2,8671 Industrial & Office REITs,EUR,76.52,10,0.67,2001-12-11 11:30,765,"686,435","52,526,006",Compartment A (Large Caps),Belgium zone  ,PEA eligible,Double call auction,76.52,76.52,2001-12-11 11:30,76.52,2001-12-11 11:30,-15.47,109.6,2019-4-11,76.01,2004-11-11,-22.71,109.6,2019-4-11,76.01,2004-11-11,-,-,-,8000 Financials,8600 Real Estate,8670 Real Estate Investment Trusts,Yes,No,-,-
COFINIMMO-SICAFI,BE0003593044,BE0003593044,BRU,COFB,8671 Industrial & Office REITs,EUR,87.05,25022,1.2,2009-12-11 17:35,2179660,"13,998,533","1,218,572,298",Compartment A (Large Caps),Belgium zone  ,PEA eligible,Continuous,85.62,87.82,2009-12-11 13:31,85.61,2009-12-11 9:04,-10.64,104.5,2028-4-11,82.05,2025-11-11,-10.14,104.5,2028-4-11,82.05,2025-11-11,"=LIEN_HYPERTEXTE(""http://www.cofinimmo.com"";""http://www.cofinimmo.com"")",Ingrid Daerden,+32.2.373 00 04,8000 Financials,8600 Real Estate,8670 Real Estate Investment Trusts,Yes,No,-,-
COLRUYT (D),BE0974256852,BE0974256852,BRU,COLR,5337 Food Retailers & Wholesalers,EUR,28.25,353260,1.02,2009-12-11 17:35,8131464,"168,294,930","4,754,331,773",Compartment A (Large Caps),Belgium zone  ,PEA eligible,Continuous,27.965,28.32,2009-12-11 17:25,27.785,2009-12-11 9:25,-25.76,39.99,2023-5-11,26.74,2029-11-11,-27.59,39.99,2023-5-11,26.74,2029-11-11,"=LIEN_HYPERTEXTE(""http://www.colruyt.be"";""http://www.colruyt.be"")",-,-,5000 Consumer Services,5300 Retail,5330 Food & Drug Retailers,Yes,No,-,-
COLRUYT STRIP (D),BE0005637112,BE0005637112,BRU,COLRS,5337 Food Retailers & Wholesalers,EUR,0.073,27050,2.82,2009-12-11 15:00,1975,"8,829,005","644,517",null,Belgium zone  ,,Call auction,0.073,0.073,2009-12-11 15:00,0.073,2009-12-11 15:00,-83.78,0.55,2001-7-11,0.033,2003-11-11,-84.13,0.55,2001-7-11,0.03,2003-11-11,-,-,-,5000 Consumer Services,5300 Retail,5330 Food & Drug Retailers,No,No,-,-
CONNECT GROUP,BE0003786036,BE0003786036,BRU,CONN,2733 Electrical Components & Equipment,EUR,1.47,5725,-5.77,2009-12-11 12:54,8613,"10,290,024","15,126,335",Compartment C (Small Caps),Belgium zone  ,PEA eligible,Continuous,1.6,1.6,2009-12-11 9:00,1.45,2009-12-11 10:52,-24.62,2.43,2013-5-11,1.15,2005-8-11,-10.37,2.43,2013-5-11,1.15,2005-8-11,"=LIEN_HYPERTEXTE(""http://www.connectgroup.com"";""http://www.connectgroup.com"")",Hugo Ciroux,+32 (0) 89 623 000,2000 Industrials,2700 Industrial Goods & Services,2730 Electronical & Electrical Equipment,Yes,No,-,-
D'IETEREN (D),BE0974259880,BE0974259880,BRU,DIE,5379 Specialty Retailers,EUR,35.03,68241,0,2009-12-11 17:35,2419347,"55,302,620","1,937,250,779",Compartment A (Large Caps),Belgium zone  ,PEA eligible,Continuous,34.94,36.25,2009-12-11 12:58,34.83,2009-12-11 17:15,-25.78,50.3,2015-2-11,32,2005-8-11,-18.39,50.3,2015-2-11,32,2005-8-11,"=LIEN_HYPERTEXTE(""http://www.dieteren.com"";""http://www.dieteren.com"")",Vincent Joye,+32 (0) 2 536 54 39,5000 Consumer Services,5300 Retail,5370 General Retailers,Yes,No,-,-
D'IETEREN STR (D),BE0005642161,BE0005642161,BRU,DIES,5379 Specialty Retailers,EUR,0.04,500,33.33,2009-12-11 15:00,20,"11,552,410","462,096",null,Belgium zone  ,,Call auction,0.04,0.04,2009-12-11 15:00,0.04,2009-12-11 15:00,-20,0.08,1930-5-11,0.02,2029-11-11,59.36,0.08,1930-5-11,0.02,2029-11-11,-,-,-,5000 Consumer Services,5300 Retail,5370 General Retailers,No,No,-,-
DECEUNINCK,BE0003789063,BE0003789063,BRU,DECB,2353 Building Materials & Fixtures,EUR,0.84,80436,1.2,2009-12-11 17:35,66986,"107,750,000","90,510,000",Compartment B (Mid Caps),Belgium zone  ,PEA eligible,Continuous,0.84,0.84,2009-12-11 9:00,0.82,2009-12-11 14:36,-54.1,2.18,2006-4-11,0.67,2022-11-11,-51.16,2.18,2006-4-11,0.67,2022-11-11,"=LIEN_HYPERTEXTE(""http://www.deceuninck.com"";""http://www.deceuninck.com"")",Ludo Debever,+ 32 51 239 248,2000 Industrials,2300 Construction & Materials,2350 Construction & Materials,Yes,No,-,-
DECEUNINCK STVV(D),BE0005632063,BE0005632063,BRU,DECBS,2353 Building Materials & Fixtures,EUR,0.001,250,0,2007-12-11 15:00,0,"86,200,000","86,200",null,Belgium zone  ,,Call auction,0.001,0.001,2007-12-11 15:00,0.001,2007-12-11 15:00,-50,0.004,2007-2-11,0.001,2007-11-11,-66.67,0,2007-2-11,0,2007-11-11,-,-,-,2000 Industrials,2300 Construction & Materials,2350 Construction & Materials,No,No,-,-
DEFICOM GROUP,BE0003624351,BE0003624351,BRU,DEFB,5553 Broadcasting & Entertainment,EUR,8.27,34,0,2021-11-11 11:30,281,"2,007,240","16,599,875",Compartment C (Small Caps),Belgium zone  ,PEA eligible,Double call auction,8.27,8.27,2021-11-11 11:30,8.27,2021-11-11 11:30,-18.12,10.1,2028-2-11,8.22,2029-4-11,-18.04,10.1,2028-2-11,8.22,2029-4-11,"=LIEN_HYPERTEXTE(""http://www.deficom.be"";""http://www.deficom.be"")",-,-,5000 Consumer Services,5500 Media,5550 Media,Yes,No,-,-
DEFICOM STRIP,BE0005570412,BE0005570412,BRU,DEFS,5553 Broadcasting & Entertainment,EUR,0.001,21946,0,2023-2-11 15:00,22,"405,241",405,null,Belgium zone  ,,Call auction,0.001,0.001,2023-2-11 15:00,0.001,2023-2-11 15:00,0,0.001,2023-2-11 15:00,0,-,0,0.001,2023-2-11 15:00,0,-,-,-,-,5000 Consumer Services,5500 Media,5550 Media,No,No,-,-
DELHAIZE GROUP,BE0003562700,BE0003562700,BRU,DELB,5337 Food Retailers & Wholesalers,EUR,43.41,213638,1.24,2009-12-11 17:35,8940749,"101,845,646","4,421,119,493",Compartment A (Large Caps),Belgium zone  ,PEA eligible,Continuous,42.695,43.515,2009-12-11 17:25,42.67,2009-12-11 9:04,-21.46,60.8,2028-4-11,40.815,2023-9-11,-18.09,60.8,2028-4-11,40.82,2023-9-11,"=LIEN_HYPERTEXTE(""http://www.delhaizegroup.com"";""http://www.delhaizegroup.com"")",Geert VERELLEN,+ 32 2 412 83 62,5000 Consumer Services,5300 Retail,5330 Food & Drug Retailers,Yes,No,-,-
DEVGEN,BE0003821387,BE0003821387,BRU,DEVG,4573 Biotechnology,EUR,5.04,209304,2.65,2009-12-11 17:35,121521,"21,627,464","109,002,419",Compartment C (Small Caps),Belgium zone  ,PEA eligible,Continuous,4.89,5.06,2009-12-11 13:04,4.88,2009-12-11 10:41,5,7.2,2027-4-11,3.72,2023-9-11,-7.01,7.2,2027-4-11,3.72,2023-9-11,"=LIEN_HYPERTEXTE(""http://www.devgen.com"";""http://www.devgen.com"")",Wim Goemaere,+32 9 324 24 07,4000 HealthCare,4500 Health Care,4570 Pharmaceuticals & Biotechnology,Yes,No,-,-
DEXIA,BE0003796134,BE0003796134,BRU,DEXB,8355 Banks,EUR,0.332,5457457,0.61,2009-12-11 17:35,1829396,"1,948,984,474","647,062,845",Compartment A (Large Caps),Belgium zone  ,PEA eligible,Continuous,0.33,0.347,2009-12-11 9:33,0.316,2009-12-11 9:06,-86.52,3.383,2018-2-11,0.22,2022-11-11,-88.14,3.38,2018-2-11,0.22,2022-11-11,"=LIEN_HYPERTEXTE(""http://www.dexia.com"";""http://www.dexia.com"")",Peter De Baere,00 32 2 213 57 46,8000 Financials,8300 Banks,8350 Banks,Yes,No,-,-
DEXIA STRIP,BE0005587580,BE0005587580,BRU,DEXSB,8355 Banks,EUR,0.001,843478,-50,2009-12-11 15:00,843,"684,333,504","684,334",null,Belgium zone  ,,Call auction,0.001,0.001,2009-12-11 15:00,0.001,2009-12-11 15:00,-66.67,0.004,2010-5-11,0.001,2007-12-11,-66.67,0,2010-5-11,0,2007-12-11,"=LIEN_HYPERTEXTE(""http://www.dexia.com"";""http://www.dexia.com"")",-,-,8000 Financials,8300 Banks,8350 Banks,No,No,-,-
DOW CHEMICAL CERT,BE0004594355,BE0004594355,BRU,DOWB,1353 Commodity Chemicals,EUR,20,21,8.05,2007-11-11 16:30,420,"930,420,000","18,608,400,000",null,International zone (out of Euro)  ,,Double call auction,20,20,2007-11-11 16:30,20,2007-11-11 16:30,-20.63,27.77,2011-2-11,17.1,2023-9-11,-11.11,27.77,2011-2-11,17.1,2023-9-11,-,-,-,1000 BasicMaterials,1300 Chemicals,1350 Chemicals,No,No,-,-
DRDGOLD CERT.BELG.,BE0004520582,BE0004520582,BRU,DRD,1777 Gold Mining,EUR,0.5,11200,0,2009-12-11 13:30,5598,"376,577,088","188,288,544",null,International zone (out of Euro)  ,,Continuous,0.5,0.5,2009-12-11 10:01,0.49,2009-12-11 11:05,35.14,0.51,2008-12-11,0.3,2011-8-11,35.14,0.51,2008-12-11,0.3,2011-8-11,"=LIEN_HYPERTEXTE(""http://www.drd.co.za"";""http://www.drd.co.za"")",-,-,1000 BasicMaterials,1700 Basic Resources,1770 Mining,No,No,-,-
DUVEL MOORTGAT,BE0003762763,BE0003762763,BRU,DUV,3533 Brewers,EUR,70.38,215,-0.03,2009-12-11 16:47,14899,"5,373,230","378,167,927",Compartment B (Mid Caps),Belgium zone  ,PEA eligible,Continuous,70.39,70.39,2009-12-11 9:00,68.8,2009-12-11 15:53,0.56,79.79,2024-1-11,63,2005-8-11,1.09,79.79,2024-1-11,63,2005-8-11,"=LIEN_HYPERTEXTE(""http://www.duvel.be"";""http://www.duvel.be"")",Michel Moortgat,03/8609400,3000 ConsumerGoods,3500 Food & Beverage,3530 Beverages,Yes,No,-,-
ECKERT-ZIEGLER BG,BE0003689032,BE0003689032,BRU,EZBG,4535 Medical Equipment,EUR,1.34,30,0.75,2009-12-11 9:05,40,"17,554,354","23,522,834",Compartment C (Small Caps),Belgium zone  ,PEA eligible,Continuous,1.35,1.35,2009-12-11 9:00,1.34,2009-12-11 9:05,-56.07,3.19,2025-1-11,1.11,1930-11-11,-49.43,3.19,2025-1-11,1.11,1930-11-11,"=LIEN_HYPERTEXTE(""http://www.bebig.eu"";""http://www.bebig.eu"")",-,-,4000 HealthCare,4500 Health Care,4530 Health Care Equipment & Services,Yes,No,-,-
ECONOCOM GROUP,BE0003563716,BE0003563716,BRU,ECONB,9533 Computer Services,EUR,13.27,753,0.15,2009-12-11 17:35,9992,"26,172,897","347,314,343",Compartment B (Mid Caps),Belgium zone  ,PEA eligible,Continuous,13.25,13.3,2009-12-11 15:08,13.23,2009-12-11 16:04,32.7,17.15,2020-5-11,9.98,2019-1-11,28.83,17.15,2020-5-11,9.78,2028-12-10,"=LIEN_HYPERTEXTE(""http://www.econocom.com"";""http://www.econocom.com"")",Jean-Philippe Roesch,01 47 56 37 69,9000 Technology,9500 Technology,9530 Software & Computer Services,Yes,No,-,-
ELIA,BE0003822393,BE0003822393,BRU,ELI,7535 Conventional Electricity,EUR,28.94,6076,0.45,2009-12-11 17:35,175589,"60,355,217","1,746,679,980",Compartment A (Large Caps),Belgium zone  ,PEA eligible,Continuous,28.83,29.06,2009-12-11 14:30,28.81,2009-12-11 9:52,0.98,32.33,1931-5-11,26.5,2009-8-11,3.32,32.33,1931-5-11,26.5,2009-8-11,"=LIEN_HYPERTEXTE(""http://www.elia.be"";""http://www.elia.be"")",Bert Maes,+32 2 546 72 39,7000 Utilities,7500 Utilities,7530 Electricity,Yes,No,-,-
ELIA STRIP,BE0005597688,BE0005597688,BRU,ELIS,7535 Conventional Electricity,EUR,0.095,774,0,2009-12-11 15:00,74,"18,375,578","1,745,680",null,Belgium zone  ,,Call auction,0.095,0.095,2009-12-11 15:00,0.095,2009-12-11 15:00,-74.93,0.4,2016-9-11,0.08,2029-11-11,-72.06,0.4,2016-9-11,0.08,2029-11-11,-,-,-,7000 Utilities,7500 Utilities,7530 Electricity,No,No,-,-
ENVIPCO (D),NL0009901610,NL0009901610,BRU,ENVI,2799 Waste & Disposal Services,EUR,7.95,406,-0.62,2007-11-11 16:30,3228,"2,712,607","21,565,226",Compartment C (Small Caps),Netherlands zone  ,PEA eligible,Double call auction,7.95,7.95,2007-11-11 16:30,7.95,2007-11-11 16:30,-0.62,8,2019-10-11,7.95,2007-11-11,-0.62,8,2019-10-11,7.95,2007-11-11,"=LIEN_HYPERTEXTE(""http://www.envipco.com"";""http://www.envipco.com"")",Raj Chawla,12037204059,2000 Industrials,2700 Industrial Goods & Services,2790 Support Services,Yes,No,Halted,2009-12-11
ENVIPCO STRIP (D),BE0005645198,BE0005645198,BRU,ENVS,2799 Waste & Disposal Services,EUR,0,0,-,-,0,"100,000",0,null,Netherlands zone  ,,Call auction,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,-,-,-,2000 Industrials,2700 Industrial Goods & Services,2790 Support Services,No,No,-,-
EURONAV,BE0003816338,BE0003816338,BRU,EURN,2773 Marine Transportation,EUR,3.44,74234,-0.58,2009-12-11 17:35,222987,"51,750,000","178,020,000",Compartment B (Mid Caps),Belgium zone  ,PEA eligible,Continuous,3.46,3.59,2009-12-11 10:12,3.38,2009-12-11 9:06,-72.89,13.2,2018-2-11,2.87,2021-10-11,-72.17,13.2,2018-2-11,2.87,2021-10-11,"=LIEN_HYPERTEXTE(""http://www.euronav.com"";""http://www.euronav.com"")",Hugo De Stoop,+32 3 247 44 11,2000 Industrials,2700 Industrial Goods & Services,2770 Industrial Transportation,Yes,No,-,-
EVS BROADC.EQUIPM.,BE0003820371,BE0003820371,BRU,EVS,2737 Electronic Equipment,EUR,38.04,13258,1.09,2009-12-11 17:35,504367,"13,625,000","518,295,000",Compartment B (Mid Caps),Belgium zone  ,PEA eligible,Continuous,37.88,38.37,2009-12-11 16:05,37.77,2009-12-11 10:57,-20.58,48.3,2004-1-11,34.1,2021-11-11,-19.73,49.19,2022-12-10,34.1,2021-11-11,"=LIEN_HYPERTEXTE(""http://www.evs-global.com"";""http://www.evs-global.com"")",Galloy Jacques,+32 4 361 7014,2000 Industrials,2700 Industrial Goods & Services,2730 Electronical & Electrical Equipment,Yes,No,-,-
EXMAR,BE0003808251,BE0003808251,BRU,EXM,2773 Marine Transportation,EUR,5.52,17557,1.1,2009-12-11 17:35,96217,"59,500,000","328,440,000",Compartment B (Mid Caps),Belgium zone  ,PEA eligible,Continuous,5.4,5.55,2009-12-11 17:29,5.35,2009-12-11 9:04,2.6,6.95,2008-4-11,3.8,2023-9-11,3.95,6.95,2008-4-11,3.8,2023-9-11,"=LIEN_HYPERTEXTE(""http://www.exmar.be"";""http://www.exmar.be"")",-,-,2000 Industrials,2700 Industrial Goods & Services,2770 Industrial Transportation,Yes,No,-,-
EXMAR STR VVPR (D),BE0005633079,BE0005633079,BRU,EXMS,2773 Marine Transportation,EUR,0.002,11326,-50,2001-12-11 15:00,23,"23,800,000","47,600",null,Belgium zone  ,,Call auction,0.002,0.002,2001-12-11 15:00,0.002,2001-12-11 15:00,-60,0.01,2014-4-11,0.001,2021-11-11,-60,0.01,2014-4-11,0,2021-11-11,-,-,-,2000 Industrials,2700 Industrial Goods & Services,2770 Industrial Transportation,No,No,-,-
FLORIDIENNE,BE0003215143,BE0003215143,BRU,FLOB,2727 Diversified Industrials,EUR,138,305,6.15,2008-12-11 16:30,42050,"907,572","125,244,936",Compartment C (Small Caps),Belgium zone  ,PEA eligible,Double call auction,130,138,2008-12-11 16:30,130,2008-12-11 11:30,2.22,151.8,2001-3-11,130,2007-12-11,2.99,151.8,2001-3-11,130,2007-12-11,"=LIEN_HYPERTEXTE(""http://www.floridienne.be"";""http://www.floridienne.be"")",-,-,2000 Industrials,2700 Industrial Goods & Services,2720 General Industrials,Yes,No,-,-
FLUXYS CAT.D,BE0003803203,BE0003803203,BRU,FLUX,0577 Pipelines,EUR,2830,11,1.07,2009-12-11 16:30,31070,"117,398","332,236,340",Compartment B (Mid Caps),Belgium zone  ,PEA eligible,Double call auction,2810,2830,2009-12-11 16:30,2810,2009-12-11 11:30,21.46,2877,2011-5-11,2300,2017-2-11,17.18,2877,2011-5-11,2269,2020-12-10,"=LIEN_HYPERTEXTE(""http://www.fluxys.com"";""http://www.fluxys.com"")",BERENICE CRABS,+32 2 282 72 30,0001 Oil&Gas,0500 Oil & Gas,"0570 Oil Equipment, Services & Distribution",Yes,No,-,-
FORD MOTOR CERT,BE0004571122,BE0004571122,BRU,F,3353 Automobiles,EUR,8,70,-0.25,2008-12-11 11:30,560,"2,318,003,459","18,544,027,672",null,International zone (out of Euro)  ,,Double call auction,8,8,2008-12-11 11:30,8,2008-12-11 11:30,-36,14.12,2013-1-11,6.93,2022-8-11,-35.64,14.12,2013-1-11,6.93,2022-8-11,-,-,-,3000 ConsumerGoods,3300 Automobiles & Parts,3350 Automobiles & Parts,No,No,-,-
FOUNTAIN,BE0003752665,BE0003752665,BRU,FOU,3537 Soft Drinks,EUR,12.8,452,-0.78,2009-12-11 16:30,5786,"1,660,360","21,252,608",Compartment C (Small Caps),Belgium zone  ,PEA eligible,Double call auction,12.8,12.8,2009-12-11 11:30,12.8,2009-12-11 11:30,-0.39,15.92,2018-4-11,12.01,2029-8-11,-6.71,15.92,2018-4-11,12,2022-12-10,"=LIEN_HYPERTEXTE(""http://www.fountain-group.com"";""http://www.fountain-group.com"")",MALSCHALCK MICHEL,00 32 2 3890811,3000 ConsumerGoods,3500 Food & Beverage,3530 Beverages,Yes,No,-,-
FOYER,LU0112960504,LU0112960504,BRU,FOY,8532 Full Line Insurance,EUR,45.49,44,-0.33,2009-12-11 16:59,2002,"8,998,842","409,357,323",null,Euro zone  ,PEA eligible,Continuous,45.49,45.49,2009-12-11 16:58,45.49,2009-12-11 16:58,8.34,51.75,2004-7-11,40.59,2017-3-11,3.41,51.75,2004-7-11,40.59,2017-3-11,"=LIEN_HYPERTEXTE(""http://www.lefoyer.lu"";""http://www.lefoyer.lu"")",-,-,8000 Financials,8500 Insurance,8530 Nonlife Insurance,Yes,No,-,-
GALAPAGOS,BE0003818359,BE0003818359,BRU,GLPG,4573 Biotechnology,EUR,9.65,153414,3.76,2009-12-11 17:35,1403216,"26,419,866","254,951,707",Compartment B (Mid Caps),Belgium zone  ,PEA eligible,Continuous,9.2,9.8,2009-12-11 15:41,9.16,2009-12-11 9:10,-18.77,12.4,2004-1-11,4.85,2009-8-11,-18.98,12.4,2004-1-11,4.85,2009-8-11,"=LIEN_HYPERTEXTE(""http://www.glpg.com"";""http://www.glpg.com"")",Elizabeth Goodwin,-622916209,4000 HealthCare,4500 Health Care,4570 Pharmaceuticals & Biotechnology,Yes,No,-,-
GBL,BE0003797140,BE0003797140,BRU,GBLB,8775 Specialty Finance,EUR,52.18,277844,1.7,2009-12-11 17:35,14408145,"161,358,287","8,419,675,416",Compartment A (Large Caps),Belgium zone  ,PEA eligible,Continuous,50.54,52.43,2009-12-11 12:59,50.5,2009-12-11 9:00,-17.08,68.79,2018-2-11,47.44,2023-9-11,-15.84,68.79,2018-2-11,47.44,2023-9-11,"=LIEN_HYPERTEXTE(""http://www.gbl.be"";""http://www.gbl.be"")",Carine Dumasy,+32-2-289 17 17,8000 Financials,8700 Financial Services,8770 Financial Services,Yes,No,-,-
